title,url,difficulty,platform,topics,is_premium,frequency
Check for Pair in an Array with a Given Sum,https://www.geeksforgeeks.org/given-an-array-a-and-a-number-x-check-for-pair-in-a-with-sum-as-x/ ,Medium,GFG,"Array",False,0.70
Find All Pairs With a Given Difference,https://www.geeksforgeeks.org/find-a-pair-with-the-given-difference/ ,Medium,GFG,"Array",False,0.60
Sort an Array of 0s, 1s and 2s,https://www.geeksforgeeks.org/sort-an-array-of-0s-1s-and-2s/ ,Easy,GFG,"Array",False,0.75
Find the Duplicate in an Array of N+1 Elements,https://www.geeksforgeeks.org/find-the-repeating-and-the-missing/ ,Medium,GFG,"Array",False,0.70
Merge Intervals,https://www.geeksforgeeks.org/merge-overlapping-intervals/ ,Medium,GFG,"Array",False,0.80
Find the Row with Maximum Number of 1s,https://www.geeksforgeeks.org/find-the-row-with-maximum-number-of-1s/ ,Medium,GFG,"Matrix",False,0.60
Print Matrix in Spiral Form,https://www.geeksforgeeks.org/print-a-given-matrix-in-spiral-form/ ,Medium,GFG,"Matrix",False,0.70
Rotate Matrix by 90 Degrees Clockwise,https://www.geeksforgeeks.org/inplace-rotate-square-matrix-by-90-degrees/ ,Medium,GFG,"Matrix",False,0.65
Search in a Row-wise and Column-wise Sorted Matrix,https://www.geeksforgeeks.org/search-in-row-wise-and-column-wise-sorted-matrix/ ,Medium,GFG,"Matrix",False,0.65
Find Median in a Row-Wise Sorted Matrix,https://www.geeksforgeeks.org/matrix-medians-row-wise-sorted/ ,Hard,GFG,"Matrix",False,0.55
Print Diagonal Elements of a Matrix,https://www.geeksforgeeks.org/program-print-diagonally/ ,Medium,GFG,"Matrix",False,0.50
Find the Largest Rectangular Binary Submatrix with Equal 0s and 1s,https://www.geeksforgeeks.org/largest-rectangular-sub-matrix-with-equal-number-of-1s-and-0s/ ,Hard,GFG,"Matrix",False,0.45
Find the Length of Longest Consecutive Sequence in Binary Tree,https://www.geeksforgeeks.org/longest-consecutive-sequence-binary-tree/ ,Medium,GFG,"Tree",False,0.60
Convert a Binary Tree to its Mirror Tree,https://www.geeksforgeeks.org/write-an-efficient-c-function-to-convert-a-tree-into-its-mirror-tree/ ,Easy,GFG,"Tree",False,0.65
Check if Two Trees are Mirror of Each Other,https://www.geeksforgeeks.org/check-if-two-trees-are-mirror/ ,Easy,GFG,"Tree",False,0.60
Determine if Two Trees are Identical,https://www.geeksforgeeks.org/write-c-code-to-determine-if-two-trees-are-identical/ ,Easy,GFG,"Tree",False,0.65
Lowest Common Ancestor in a Binary Tree,https://www.geeksforgeeks.org/lowest-common-ancestor-binary-tree-set-1/ ,Medium,GFG,"Tree",False,0.75
Check if a Binary Tree is Height Balanced or Not,https://www.geeksforgeeks.org/how-to-determine-if-a-binary-tree-is-balanced/ ,Easy,GFG,"Tree",False,0.70
Boundary Traversal of Binary Tree,https://www.geeksforgeeks.org/boundary-traversal-of-binary-tree/ ,Medium,GFG,"Tree",False,0.65
Vertical Order Traversal of Binary Tree,https://www.geeksforgeeks.org/print-binary-tree-vertical-order/ ,Medium,GFG,"Tree",False,0.60
Bottom View of Binary Tree,https://www.geeksforgeeks.org/bottom-view-binary-tree/ ,Medium,GFG,"Tree",False,0.60
Top View of Binary Tree,https://www.geeksforgeeks.org/print-nodes-top-view-binary-tree/ ,Medium,GFG,"Tree",False,0.60
Diagonal Traversal of Binary Tree,https://www.geeksforgeeks.org/diagonal-traversal-of-binary-tree/ ,Medium,GFG,"Tree",False,0.55
Construct Tree from Preorder and Inorder Traversal,https://www.geeksforgeeks.org/construct-tree-from-given-inorder-and-preorder-traversal/ ,Hard,GFG,"Tree",False,0.65
Serialize and Deserialize a Binary Tree,https://www.geeksforgeeks.org/serialize-deserialize-binary-tree/ ,Hard,GFG,"Tree",False,0.70
Connect Nodes at Same Level in a Binary Tree,https://www.geeksforgeeks.org/connect-nodes-at-same-level/ ,Hard,GFG,"Tree",False,0.60
Populate Inorder Successor for All Nodes,https://www.geeksforgeeks.org/populate-inorder-successor-for-all-nodes/ ,Hard,GFG,"Tree",False,0.55
Flatten a Binary Tree to Linked List,https://www.geeksforgeeks.org/flatten-a-binary-tree-into-linked-list/ ,Medium,GFG,"Tree",False,0.65
Convert Binary Tree to Doubly Linked List,https://www.geeksforgeeks.org/in-place-conversion-of-sorted-dll-to-balanced-bst/ ,Medium,GFG,"Tree",False,0.60
Print All Root to Leaf Paths,https://www.geeksforgeeks.org/given-a-binary-tree-print-all-root-to-leaf-paths/ ,Medium,GFG,"Tree",False,0.60
Kth Ancestor of a Node in Binary Tree,https://www.geeksforgeeks.org/k-th-ancestor-of-a-node-in-binary-tree/ ,Medium,GFG,"Tree",False,0.55
Sum of All Left Leaves in a Binary Tree,https://www.geeksforgeeks.org/find-sum-of-all-left-leaves-in-a-given-binary-tree/ ,Easy,GFG,"Tree",False,0.50
Find Distance Between Two Nodes of a Binary Tree,https://www.geeksforgeeks.org/find-distance-between-two-nodes-of-a-binary-tree/ ,Hard,GFG,"Tree",False,0.60
Check if a Binary Tree is a Sum Tree or Not,https://www.geeksforgeeks.org/check-if-a-given-binary-tree-is-sumtree/ ,Medium,GFG,"Tree",False,0.60
Check if a Binary Tree is Symmetric,https://www.geeksforgeeks.org/symmetric-tree-tree-data-structure/ ,Easy,GFG,"Tree",False,0.70
Maximum Path Sum in a Binary Tree,https://www.geeksforgeeks.org/find-maximum-path-sum-in-a-binary-tree/ ,Hard,GFG,"Tree",False,0.70
Check if a Binary Tree is a BST or Not,https://www.geeksforgeeks.org/a-program-to-check-if-a-binary-tree-is-bst-or-not/ ,Medium,GFG,"Tree",False,0.75
Inorder Successor in BST,https://www.geeksforgeeks.org/inorder-succesor-node-in-binary-search-tree/ ,Medium,GFG,"Tree",False,0.60
Kth Smallest Element in a BST,https://www.geeksforgeeks.org/find-k-th-smallest-element-in-bst-using-o1-extra-space/ ,Medium,GFG,"Tree",False,0.70
Ceil and Floor in a BST,https://www.geeksforgeeks.org/floor-and-ceil-from-a-bst/ ,Medium,GFG,"Tree",False,0.55
Insertion in a Binary Search Tree,https://www.geeksforgeeks.org/binary-search-tree-set-1-search-and-insertion/ ,Easy,GFG,"Tree",False,0.60
Deletion in a Binary Search Tree,https://www.geeksforgeeks.org/binary-search-tree-set-2-delete/ ,Medium,GFG,"Tree",False,0.65
Construct BST from Preorder Traversal,https://www.geeksforgeeks.org/construct-bst-from-given-preorder-traversal/ ,Medium,GFG,"Tree",False,0.60
